y/H,N,U/Uc,V/Uc,W/Uc
1.48E+00,6968,6.75E-02,4.66E-02,5.04E-02
1.49E+00,6980,6.99E-02,4.69E-02,5.30E-02
1.50E+00,7100,7.02E-02,4.51E-02,5.29E-02
1.51E+00,7175,6.93E-02,4.63E-02,5.06E-02
1.52E+00,7071,6.96E-02,4.67E-02,5.18E-02
1.54E+00,7193,6.94E-02,4.67E-02,5.37E-02
1.55E+00,7081,7.15E-02,4.85E-02,5.40E-02
1.56E+00,7260,7.10E-02,4.84E-02,5.39E-02
1.57E+00,7065,7.47E-02,4.88E-02,5.57E-02
1.59E+00,7261,7.53E-02,5.00E-02,5.51E-02
1.60E+00,7471,7.46E-02,4.94E-02,5.38E-02
1.61E+00,7160,7.64E-02,4.98E-02,5.52E-02
1.62E+00,7178,7.77E-02,4.98E-02,5.66E-02
1.63E+00,7682,7.83E-02,4.96E-02,5.73E-02
1.65E+00,7695,7.80E-02,4.91E-02,5.90E-02
1.66E+00,7713,7.82E-02,4.99E-02,5.95E-02
1.67E+00,7777,8.12E-02,5.02E-02,5.98E-02
1.68E+00,7627,8.21E-02,5.08E-02,6.18E-02
1.70E+00,7694,8.32E-02,5.12E-02,6.15E-02
1.71E+00,7929,8.26E-02,5.06E-02,6.19E-02
1.72E+00,7782,8.53E-02,4.99E-02,6.21E-02
1.73E+00,7660,8.77E-02,5.08E-02,6.23E-02
1.74E+00,7615,8.83E-02,5.14E-02,6.22E-02
1.76E+00,7695,8.96E-02,4.99E-02,6.32E-02
1.77E+00,7641,8.96E-02,5.06E-02,6.41E-02
1.78E+00,7622,9.14E-02,5.05E-02,6.29E-02
1.79E+00,7702,9.30E-02,4.94E-02,6.50E-02
1.81E+00,7754,9.75E-02,4.98E-02,6.62E-02
1.82E+00,7844,9.91E-02,4.78E-02,6.63E-02
1.83E+00,8021,1.03E-01,4.72E-02,6.55E-02
1.84E+00,7728,1.06E-01,4.66E-02,6.64E-02
1.85E+00,7903,1.11E-01,4.58E-02,6.57E-02
1.87E+00,7836,1.15E-01,4.32E-02,6.59E-02
1.88E+00,7646,1.24E-01,4.17E-02,6.55E-02
1.89E+00,8020,1.26E-01,3.72E-02,6.36E-02
1.90E+00,7748,1.32E-01,3.42E-02,6.12E-02
1.92E+00,7979,1.36E-01,2.86E-02,5.98E-02
1.93E+00,7888,1.40E-01,2.45E-02,5.36E-02
1.94E+00,7801,1.37E-01,1.92E-02,5.03E-02
1.95E+00,8049,1.16E-01,1.37E-02,4.03E-02
1.96E+00,5155,7.84E-02,9.67E-03,3.05E-02
1.97E+00,105,2.16E-01,1.02E-02,3.19E-02

FLUXU.DAT,,,,
y/H,N,-<uv>/Uc*2,-<uw>/Uc*2,-<vw>/Uc*2
9.60E-03,378,-1.68E-04,5.56E-04,-2.32E-04
1.92E-02,3732,1.00E-04,6.07E-05,-5.48E-05
3.07E-02,4885,5.02E-04,7.60E-05,-6.36E-05
4.28E-02,4912,9.89E-04,1.51E-04,-1.01E-04
5.52E-02,5227,1.40E-03,-1.15E-05,-8.61E-05
6.74E-02,5419,1.64E-03,-3.74E-04,-3.20E-05
7.96E-02,5347,1.64E-03,-1.54E-04,-7.41E-05
9.18E-02,5005,1.88E-03,-1.67E-05,3.65E-05
1.04E-01,5099,1.94E-03,-4.49E-05,-9.05E-05
1.16E-01,5352,1.97E-03,4.18E-05,-9.58E-05
1.29E-01,5298,1.91E-03,-4.37E-05,-9.54E-05
1.41E-01,5145,2.07E-03,9.72E-05,-5.54E-05
1.53E-01,5050,1.80E-03,-2.45E-04,-8.95E-05
1.65E-01,5105,1.96E-03,-2.93E-04,-9.88E-05
1.78E-01,5119,1.86E-03,-6.23E-05,-1.11E-04
1.90E-01,5125,1.99E-03,-1.24E-04,-4.64E-05
2.02E-01,5255,2.00E-03,8.30E-05,-2.73E-05
2.14E-01,5101,1.85E-03,2.19E-05,-4.42E-05
2.26E-01,5139,1.93E-03,-2.73E-05,-6.08E-05
2.39E-01,5166,1.79E-03,1.56E-04,-1.48E-04
2.51E-01,5227,1.79E-03,1.62E-04,-1.25E-04
2.63E-01,5397,1.71E-03,-1.08E-05,-1.72E-04
2.75E-01,5327,1.79E-03,1.59E-04,-1.93E-04
2.88E-01,5426,1.75E-03,-1.65E-04,-4.07E-05
3.00E-01,5425,1.68E-03,1.20E-04,-7.52E-05
3.12E-01,5604,1.77E-03,-1.10E-05,-1.25E-04
3.24E-01,5460,1.60E-03,5.37E-05,-1.16E-04
3.37E-01,5577,1.56E-03,-5.64E-05,-1.09E-04
3.49E-01,5669,1.54E-03,9.71E-05,-1.54E-04
3.61E-01,5484,1.57E-03,1.54E-04,-1.62E-04
3.73E-01,5456,1.42E-03,4.66E-05,-1.58E-04
3.85E-01,5759,1.41E-03,4.33E-05,-5.80E-05
3.98E-01,5522,1.50E-03,1.60E-04,-1.46E-04
4.10E-01,5643,1.47E-03,3.38E-05,-5.28E-05
4.22E-01,5666,1.54E-03,1.00E-04,-1.03E-04
4.34E-01,5499,1.30E-03,8.84E-05,-7.97E-05
4.47E-01,5687,1.33E-03,6.19E-05,-1.04E-04
4.59E-01,5324,1.43E-03,1.77E-04,-1.70E-04
4.71E-01,5447,1.34E-03,1.65E-04,-1.31E-04
4.83E-01,5459,1.18E-03,5.14E-05,-1.23E-04
4.96E-01,5481,1.20E-03,5.52E-06,-1.11E-04
5.08E-01,5537,1.17E-03,1.03E-04,-1.39E-04
5.20E-01,5395,1.26E-03,7.03E-05,-9.72E-05
5.33E-01,5340,1.17E-03,1.47E-04,-1.14E-04
5.45E-01,5403,1.15E-03,6.23E-05,-1.63E-04
5.57E-01,5537,1.06E-03,1.04E-04,-2.15E-04
5.69E-01,5692,1.00E-03,9.75E-05,-1.00E-04
5.81E-01,5575,9.49E-04,-1.55E-05,-1.43E-04
5.94E-01,5732,8.22E-04,6.47E-05,-1.41E-04
6.06E-01,5840,8.75E-04,-6.44E-05,-6.84E-05
6.18E-01,5696,8.77E-04,4.79E-05,-1.30E-04
6.30E-01,5628,8.05E-04,6.62E-05,-1.33E-04
6.43E-01,5740,8.52E-04,1.83E-05,-1.11E-04
6.55E-01,5688,7.75E-04,2.93E-05,-1.51E-04
6.67E-01,5380,7.45E-04,-6.26E-05,-1.09E-04
6.79E-01,5472,7.67E-04,-3.26E-05,-6.98E-05
6.92E-01,5827,7.37E-04,1.70E-05,-6.63E-05
7.04E-01,5839,6.38E-04,-2.70E-05,-5.38E-05
7.16E-01,5808,6.33E-04,-4.05E-05,-1.12E-04
7.28E-01,5905,5.72E-04,1.14E-05,-6.30E-05
